3.000	.693	1.059	.693	.462	.462	.347	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.231	.000	.000	.000	.000	.000	.000	.000	3.000	3.000	2.500	2.333	3.333	2.000	2.667	2.667	2.000	2.667	2.667	3.000	3.000	2.333	2.000	3.000	3.000	2.000	3.000	3.000	2.000	3.333	3.000	2.000	.875	1.000	.583	.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
9.000	.000	.231	.000	.231	.462	.549	.000	.366	.347	.231	.231	.000	.231	.000	.000	.000	.000	.000	.000	.231	.000	.000	.000	.000	3.333	2.000	1.000	2.000	1.667	1.000	2.333	1.000	1.000	2.333	1.667	1.500	2.667	2.000	1.000	2.667	2.333	1.500	2.000	1.667	1.000	5.000	3.667	3.000	.625	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
10.000	.366	.597	.549	.231	.462	.693	.000	.462	.347	.000	.231	.347	.000	.462	.347	.231	.597	.347	.231	.462	.347	.000	.000	.000	3.333	2.667	2.000	3.667	2.333	2.000	3.667	2.667	2.000	4.000	3.000	2.000	3.333	2.333	2.000	4.000	2.667	2.500	3.667	2.667	2.500	3.000	2.333	2.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
11.000	.924	.924	.549	1.439	1.230	1.040	.828	.597	.347	.693	.924	.347	.366	.828	1.040	.462	.924	.347	.000	.462	.347	.462	.597	.347	3.667	3.667	3.500	3.667	4.333	4.500	3.000	4.000	3.000	3.000	3.667	3.500	3.333	4.000	4.000	3.667	4.000	4.000	2.333	2.000	2.000	2.667	3.333	2.500	.875	.667	.750	.521	.278	.556	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	.750	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
14.000	.597	.000	.347	.000	.231	.347	.366	.000	.347	.000	.231	.347	.000	.000	.347	.231	.000	.549	.000	.000	.000	.000	.000	.000	2.333	2.000	1.500	2.667	2.333	1.500	2.000	2.000	1.500	1.333	1.333	1.000	1.000	1.000	1.000	1.000	1.000	1.500	1.000	1.000	1.000	1.000	1.000	1.000	.875	.611	.306	.875	1.000	.611	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	.875	.833	.778	1.000	1.000	1.000	1.000	1.000	1.000
17.000	1.290	1.386	1.242	.693	.963	.347	1.059	.963	.896	.693	.693	.693	.828	.828	.693	.693	.828	.896	.693	.693	.693	.963	.963	1.099	3.333	3.667	2.000	2.667	3.000	2.500	2.667	3.000	3.000	2.667	3.333	2.500	3.000	2.667	2.500	2.667	3.000	3.000	3.667	3.333	3.000	2.667	3.000	3.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
19.000	.462	.366	.000	.597	.231	.000	.231	.231	.000	.462	.000	.347	.000	.000	.000	.462	.000	.347	.000	.000	.000	.000	.000	.000	3.000	3.000	2.500	3.000	2.667	3.000	4.000	4.000	2.500	2.667	3.000	2.000	3.333	3.333	2.500	3.000	3.000	3.000	1.667	2.333	1.500	1.667	2.333	2.000	.833	1.000	.833	.708	1.000	.611	.875	1.000	.833	.875	1.000	.667	.875	1.000	.667	.875	1.000	.667	.833	1.000	.833	.833	1.000	.778
20.000	1.386	1.059	.896	.828	.828	.896	.693	.693	.693	.828	.828	.896	.828	.828	.896	.693	.828	.693	.963	.828	.693	.693	.693	.693	3.667	3.667	3.500	2.000	2.333	2.000	4.000	3.333	3.000	1.667	2.000	2.000	2.333	2.333	2.000	2.000	2.000	2.000	3.000	2.333	2.500	2.000	2.000	2.000	.313	.333	.389	.583	1.000	.778	.750	1.000	.833	.750	.667	.833	1.000	1.000	1.000	1.000	1.000	1.000	.875	1.000	.833	1.000	1.000	1.000
22.000	.000	.462	.000	.231	.462	.347	.366	.231	.347	.462	.366	.347	.597	.366	.347	.366	.366	.347	.000	.000	.000	.231	.231	.000	2.000	2.000	1.500	2.000	2.000	1.500	2.000	1.667	2.000	2.333	2.000	1.500	2.667	2.333	2.000	2.667	2.333	2.000	2.000	1.667	1.500	2.333	2.667	2.000	.750	.833	.667	.750	1.000	.833	.875	1.000	1.000	1.000	1.000	1.000	.750	.500	.500	1.000	.556	1.000	1.000	1.000	1.000	.750	.833	.667
24.000	.462	.462	.896	.462	.231	.693	.963	.828	1.099	.462	.366	.347	1.195	1.195	1.151	.828	.693	1.040	1.290	1.195	1.242	1.386	1.290	1.386	2.333	1.667	1.500	1.667	1.667	1.000	2.333	2.000	1.500	2.333	2.333	1.000	3.667	3.000	1.500	2.667	2.333	2.500	2.667	3.333	2.500	3.333	3.000	2.000	1.000	.667	.833	1.000	.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	.708	.611	1.000	1.000	.528	.833	1.000	.611	.833	1.000	.556	1.000
